latitude,longitude,snow_thickness
78.255678167,16.194201,0.8550770978352038
78.255690167,16.194348,0.8398336515824065
78.255690167,16.194348,0.838306643091435
78.255701833,16.194496,0.8576343718156367
78.255701833,16.194496,0.8853358409725052
78.2557135,16.1946445,0.8989777616176635
78.2557135,16.1946445,0.9174014825479516
78.255725167,16.194791,0.8898518903053134
78.255725167,16.194791,0.9125435648302952
78.255736833,16.194938333,0.920046036157022
78.255736833,16.194938333,0.9076938538140432
78.255749,16.195087167,0.9068556196724432
78.255749,16.195087167,0.9453950874168068
78.255761667,16.195238,0.9449268452629392
78.255761667,16.195238,0.9229060134267172
78.255774,16.195393167,0.8445222768692706
78.255774,16.195393167,0.8168090556581356
78.255788333,16.195551833,0.8075183018264156
78.255788333,16.195551833,0.8197940502936432
78.255802167,16.195711,0.832069798760871
78.255802167,16.195711,0.8342657011045864
78.255815667,16.195869167,0.8037263696671126
78.255815667,16.195869167,0.7870992952266873
78.255828667,16.1960265,0.7878297529867206
78.255828667,16.1960265,0.8427357166209481
78.255841333,16.196186,0.8587290787127024
78.255841333,16.196186,0.8448155975692095
78.255853,16.196346167,0.811933807442689
78.255853,16.196346167,0.7369177177445194
78.255866667,16.1964995,0.7293396610486238
78.255866667,16.1964995,0.751701837419807
78.255879167,16.1966565,0.7746661863882731
78.255879167,16.1966565,0.7772617995389388
78.255891667,16.196811,0.7798574126896041
78.255891667,16.196811,0.7440355506577625
78.255903667,16.196966333,0.7756048705492737
78.255903667,16.196966333,0.762494090240984
78.255914,16.197123667,0.7686061448690049
78.255914,16.197123667,0.7842356700620232
78.255925,16.197276833,0.8051258791234419
78.255925,16.197276833,0.8390246886616481
78.255937167,16.197431167,0.8929115702827957
78.255937167,16.197431167,0.8864244010112969
78.255949667,16.197588167,0.9300888348697628
78.255949667,16.197588167,0.893651160080311
78.255959833,16.197750167,0.9214162040730808
78.255959833,16.197750167,1.0668371381952264
78.255969667,16.197914833,0.9766413651364964
78.255969667,16.197914833,0.9411483896124844
78.255978667,16.19808,0.8911021949479323
78.255978667,16.19808,0.8775168557970152
78.255989667,16.198241333,0.9024897706699566
78.255989667,16.198241333,0.9293918082178394
78.256001833,16.198405167,0.8972959369436553
78.256001833,16.198405167,0.8836206347367301
78.256013167,16.198569833,0.8620643189030042
78.256013167,16.198569833,0.8405080030692784
78.256025167,16.198727167,0.8202459543924774
78.256025167,16.198727167,0.8043636170652659
78.256037167,16.198880667,0.82861922144602
